# Catálogo de Planes Sectoriales/Regionales (Anexo C.4 de CU-PRE-01). Catálogo oficial.
# No hay código corto oficial: el nombre es el código. Todos los planes de este anexo están
# sujetos a actualización periódica.
nombre;sector_asociado
Plan Control Territorial;Seguridad
Plan Nacional de Turismo - 2030;Turismo
Plan Sectorial de Educación 2022-2030;Educación
Planes Sectoriales para la implementación de las Contribuciones Nacionalmente Determinadas de El Salvador;Medio Ambiente
Plan Nacional de Cambio Climático 2022-2026;Medio Ambiente
Plan Nacional para la Gestión Integral de Residuos;Medio Ambiente
Política Crecer Juntos 2020-2030;Salud/Educación
